Track Name;Artist Name(s);Album Release Date;Album Name;Track Duration (ms);Album Artist Name(s);Track Number
6:00 AM;J Balvin, Farruko;2013;No Lie;166992;Michael Calfan, Martin Solveig;1
1995;Raven & Kreyn;2019;Eat Sleep Rave Repeat (feat. Beardyman);168121;Fatboy Slim, Riva Starr;1
$€ Freestyle;Sfera Ebbasta;2021;Queen II (Deluxe Edition 2011 Remaster);168973;Queen;11
(I Can't Get No) Satisfaction - Mono Version / Remastered 2002;The Rolling Stones;1965;Non mi regolo (feat. Gemitaiz & Il Tre);195559;Briga, Gemitaiz, Il Tre;1
(It Happens) Sometimes;Jack Back;2018;Trapped in Fourths;282723;T-Mass;1
0ffline (feat. bbno$);tha Supreme, bbno$;2020;Picture Show;177280;Neon Trees;3
10 RAGAZZE (con ERNIA);Rkomi, Ernia, MACE;2021;In Your Honor;255626;Foo Fighters;3
100 Degrees (with Séb Mont);Dubdogz, Bhaskar, Calmani & Grey, Séb Mont;2021;Somewhere Back in Time (The Best of 1980 - 1989);233946;Iron Maiden;8
100K;Massimo Pericolo, Crookers, Goedi;2021;Viva La Vida or Death and All His Friends;242373;Coldplay;7
19-2000 - Soulchild Remix;Gorillaz;2001;Solero (prod. Zef);180825;Lorenzo Fragola, The Kolors;1
1969 (feat. Boss Doms & Frenetik&Orang3);Achille Lauro, Boss Doms, Frenetik&Orang3;2019;Fatality (Quintino Edit);249626;Pep & Rash;1
1969 (feat. Boss Doms, Frenetik&Orang3);Achille Lauro, Boss Doms, Frenetik&Orang3;2020;Italian Classics: Pino D'Angiò Collection, Vol. 1;262456;Pino D'Angiò;4
2 Phút Hơn - KAIZ Remix;Pháo, KAIZ;2020;The Hits Collection Volume One (Deluxe);277106;JAY-Z;9
21 Guns;Green Day;2009;Body;162580;Michael Calfan;1
24K Magic;Bruno Mars;2016;Crazy;173879;TRFN;1
2difila;Ethos;2021;Fallen;235893;Evanescence;2
2ollipop;tha Supreme;2020;The Midsummer Station;205933;Owl City;7
5olo;tha Supreme;2020;Wretched and Divine: The Story Of The Wild Ones;228280;Black Veil Brides;18
64 BARRE DI PAURA;Marracash, Marz;2021;Singles 1965-1967;224133;The Rolling Stones;11
6itch remix - feat. Nitro;tha Supreme, Nitro;2020;R.E.D. (Deluxe Edition);251626;Ne-Yo;3
7 miliardi;Massimo Pericolo, Crookers, Nic Sarno;2019;Under Control (feat. Hurts);184373;Calvin Harris, Alesso;1
7rapper ma1;tha Supreme;2020;Prestige;453360;Daddy Yankee;8
8rosk1 - feat. Mahmood;tha Supreme, Mahmood;2020;Clarity;243413;Zedd;3
90MIN;Salmo;2018;Locked Away (feat. Adam Levine);227280;R. City;1
A Gozar Sabroso;Miki González;2018;Get Whoa (feat. Fly Boi Keno);240000;MAKJ, Fly Boi Keno;1
A Sky Full of Stars;Coldplay;2014;We Got That Cool (feat. Afrojack & Icona Pop) [Robert Falcon & Jordan Jay Remix];213000;Yves V, Afrojack, Icona Pop;2
A Solas - Remix;Lunay, Lyanno, Anuel AA, Brytiago, Alex Rose;2018;Neon Future II;191652;Steve Aoki;2
È sempre bello;Coez;2019;TALKING IS HARD;199080;WALK THE MOON;3
∞ LOVE (feat. Guè);Marracash, Guè;2021;The Emptiness;237840;Alesana;6
Aún Estás En Mis Sueños;Rata Blanca;2005;2difila;154609;Ethos;1
ABC;The Jackson 5;1970;The Lockdown Sessions;202735;Elton John;1
About a Girl;The Academy Is...;2008;SOLO TUTTO;190519;Massimo Pericolo, Crookers;6
About A Girl - Remastered;Nirvana;1989;Burn It All Down;201840;League of Legends, PVRIS;1
About You;KREAM;2020;Scary Monsters and Nice Sprites (Deluxe Tour Edition);357876;Skrillex;8
Acid Bomb;Dr. Peacock, Dope D.O.D.;2018;Roses;226738;The Chainsmokers;1
ACQUA ཆུ (con RKOMI & MADAME);MACE, Rkomi, Madame;2021;Dance And Dense Denso;210133;Molotov;6
Acqua su marte;Tormento, J-AX;2019;Pyramids;196874;DVBBS, Dropgun;1
Acquagym (feat. Rkomi);Ackeejuice Rockers, Rkomi;2019;No Heroes (feat. Luciana);245002;Firebeatz, KSHMR;1
Adan y Eva;Paulo Londra;2018;Easy Love;227023;Sigala;1
Adiós Amor;Mar de Copas;2018;Middle;220573;DJ Snake;1
Adictiva;Daddy Yankee, Anuel AA;2018;Vasco Rossi - All the Best;222760;Vasco Rossi;2
Adventure of a Lifetime;Coldplay;2015;Sounds Good To Me;194666;Hanne Mjøen;1
Adventure of a Lifetime;Coldplay;2015;Rock Peruano;275436;Mar de Copas, Miki González;6
ピースサイン;Kenshi Yonezu;2017;More Than You Know;254653;Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso;7
Afrodite;BLANCO;2021;Dookie;181533;Green Day;7
Ain't It Fun;Paramore;2013;Persona;255449;Marracash;4
Ain't Nobody (Loves Me Better);Felix Jaehn, Jasmine Thompson;2015;Con Calma;193226;Daddy Yankee;1
AIRFORCE (feat. Madame);Massimo Pericolo, Crookers, Madame;2021;Fast Times At Barrington High;210333;The Academy Is...;1
Akundun;Miki González;2018;Emperor's New Clothes;158666;Panic! At The Disco;1
ALDO RITMO;Salmo;2021;Highway to Hell;208400;AC/DC;1
Alive (feat. ILY);Jack Wins, ILY;2018;Cream;151875;Tujamo, Danny Avila;1
All Around The World (La La La);R3HAB, A Touch Of Class;2019;La Mente;289493;La Mente;6
All Dead, All Dead;Queen;1977;MAMMAMIA;186809;Måneskin;1
All Falls Down (feat. Juliander);Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander;2017;FUTURE;204600;Future;7
All I Ask of You (feat. Pennybirdrabbit);Skrillex, pennybirdrabbit;2010;Enough Of You;146693;Tujamo;1
All I Need;Slushii, Aviella;2020;Vices & Virtues;226680;Panic! At The Disco;1
All Night;Julian Jordan;2016;Love Yourself 結 'Answer';307675;BTS;9
All of Me;John Legend;2013;DNA;163073;Ghali;4
All of Me - Tiësto's Birthday Treatment Remix - Radio Edit;John Legend, Jason Agel, Tiësto;2014;KETY;219947;Ketama126;7
All Over The World;Fedde Le Grand;2019;Skyline;188437;Sick Individuals;1
All The Lies;Alok, Felix Jaehn, The Vamps;2019;La Mente;289493;La Mente;6
All The Small Things;blink-182;1999;Donda;226652;Kanye West;6
Allahu Akbar (Radio Edit);DJ Inappropriate, INAP;2015;Sunflower (Spider-Man: Into the Spider-Verse);158053;Post Malone, Swae Lee;1
Allenamento #4;Capo Plaza;2021;A Rush of Blood to the Head;309600;Coldplay;4
Alone;Marshmello;2016;House Party;167000;Steff da Campo, twoloud;1
Alone (feat. Anjulie & Jeffrey Jey);Marnik, KSHMR, Anjulie, Jeffrey Jey;2019;Native;215186;OneRepublic;19
Alors On Danse - DubDogz Remix;Stromae, Dubdogz;2019;Saca Prende y Sorprende - Single;357626;Cultura Profética;1
Alors On Danse - Radio Edit;Stromae;2010;Wellerman;145161;Sea Shanty;1
Alors On Danse - Radio Edit;Stromae;2009;Teatro d'ira - Vol. I;173346;Måneskin;4
Always Where I Need To Be;The Kooks;2008;Demone;161703;MamboLosco, Nardi, Finesse;1
ALYX (feat. Capo Plaza);Lazza, Capo Plaza;2020;The Heist;258342;Macklemore & Ryan Lewis, Macklemore, Ryan Lewis;2
Am I Wrong;Nico & Vinz;2014;Don't Start Now;183290;Dua Lipa;1
American Idiot;Green Day;2004;Salsa;195750;J-AX, Jake La Furia;1
Amici;Massimo Pericolo, Crookers, Nic Sarno;2019;Listen;170625;David Guetta;15
Amore e Capoeira;Takagi & Ketra, Giusy Ferreri, Sean Kingston;2018;Call On Me (Remixes);222040;Starley;6
Anima fragile;Vasco Rossi;2015;Playlist;184506;Salmo;8
Animals;Maroon 5;2015;oh 9od;205594;tha Supreme, Nayt;1
Animals;Martin Garrix;2015;Repeat After Me;194260;Dimitri Vegas & Like Mike, Armin van Buuren, W&W;1
Animals - Extended;Martin Garrix;2013;Crystalline;240528;Deko;4
Animals - Oliver Heldens Remix;Martin Garrix, Oliver Heldens;2013;Crystalline;168933;Deko;11
Animals - Victor Niglio & Martin Garrix Festival Trap Mix;Martin Garrix, Victor Niglio;2013;Crystalline;198408;Deko;6
Another One Bites The Dust - Remastered 2011;Queen;1980;FLOP;119492;Salmo;6
Another You;Armin van Buuren, Mr. Probz;2015;Rock Peruano;369503;Mar de Copas, Miki González;10
