Track Name;Artist Name(s);Album Release Date;Album Name;Track Duration (ms);Album Artist Name(s);Track Number
$€ Freestyle;Sfera Ebbasta;2021;Famoso;164468;Sfera Ebbasta;14
(Don't Fear) The Reaper;Blue Öyster Cult;1976;308120;Agents Of Fortune;Blue Öyster Cult;3
(I Can't Get No) Satisfaction - Mono Version;The Rolling Stones;1965;Out Of Our Heads;222813;The Rolling Stones;7
(I Can't Get No) Satisfaction - Mono Version / Remastered 2002;The Rolling Stones;1965;Out Of Our Heads (Remastered);222813;The Rolling Stones;7
(I Just) Died In Your Arms;Cutting Crew;1993;278626;The Best Of Cutting Crew;Cutting Crew;1
(It Happens) Sometimes;Jack Back;2018;(It Happens) Sometimes;202276;Jack Back;1
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack";Bill Medley, Jennifer Warnes;2009;289066;LOVE;Artisti Vari;60
(Shake, Shake, Shake) Shake Your Booty;KC & The Sunshine Band;2004;186906;KC & the Sunshine Band, Pt. 3... and More;KC & The Sunshine Band;4
(Sittin' On) the Dock of the Bay;Otis Redding;1968;The Dock of the Bay;166826;Otis Redding;1
(What A) Wonderful World;Sam Cooke;2000;The Man Who Invented Soul;125440;Sam Cooke;21
(What A) Wonderful World - Remastered;Sam Cooke;1960;125506;The Wonderful World Of Sam Cooke (Remastered);Sam Cooke;1
0ffline (feat. bbno$);tha Supreme, bbno$;2020;23 6451;201094;tha Supreme;1
10 RAGAZZE (con ERNIA);Rkomi, Ernia, MACE;2021;TAXI DRIVER;174727;Rkomi;10
100 Degrees (with Séb Mont);Dubdogz, Bhaskar, Calmani & Grey, Séb Mont;2021;100 Degrees (with Séb Mont);145740;Dubdogz, Bhaskar, Calmani & Grey;1
100K;Massimo Pericolo, Crookers, Goedi;2021;SOLO TUTTO;210784;Massimo Pericolo, Crookers;8
19-2000 - Soulchild Remix;Gorillaz;2001;Gorillaz;209386;Gorillaz;17
1969 (feat. Boss Doms & Frenetik&Orang3);Achille Lauro, Boss Doms, Frenetik&Orang3;2019;1969;209533;Achille Lauro;6
1969 (feat. Boss Doms, Frenetik&Orang3);Achille Lauro, Boss Doms, Frenetik&Orang3;2020;1969 - Achille Idol Rebirth;209538;Achille Lauro;11
1995;Raven & Kreyn;2019;1995;142857;Raven & Kreyn;1
2 Phút Hơn - KAIZ Remix;Pháo, KAIZ;2020;2 Phút Hơn (KAIZ Remix);183832;Pháo, KAIZ;1
21 Guns;Green Day;2009;21st Century Breakdown;321093;Green Day;16
24K Magic;Bruno Mars;2016;24K Magic;225983;Bruno Mars;1
25 or 6 to 4 - 2002 Remaster;Chicago;1970;289800;Chicago II;Chicago;14
2difila;Ethos;2021;2difila;154609;Ethos;1
2ollipop;tha Supreme;2020;23 6451;149305;tha Supreme;3
5olo;tha Supreme;2020;23 6451;123039;tha Supreme;6
6:00 AM;J Balvin, Farruko;2013;6:00 AM;243653;J Balvin;1
64 BARRE DI PAURA;Marracash, Marz;2021;Red Bull 64 Bars, The Album;131777;Artisti Vari;11
6itch remix - feat. Nitro;tha Supreme, Nitro;2020;23 6451;150753;tha Supreme;7
7 miliardi;Massimo Pericolo, Crookers, Nic Sarno;2019;Scialla Semper;167089;Massimo Pericolo;1
7rapper ma1;tha Supreme;2020;23 6451;86666;tha Supreme;18
867-5309 / Jenny;Tommy Tutone;1981;226200;Tommy Tutone - 2;Tommy Tutone;1
8rosk1 - feat. Mahmood;tha Supreme, Mahmood;2020;23 6451;171733;tha Supreme;19
90MIN;Salmo;2018;Playlist;231920;Salmo;1
99 Luftballons;Nena;1984;233000;99 Luftballons;Nena;11
∞ LOVE (feat. Guè);Marracash, Guè;2021;NOI, LORO, GLI ALTRI;218367;Marracash;3
A Boy Named Sue - Live Version;Johnny Cash;2012;The Greatest: The Number Ones;225266;Johnny Cash;13
A Gozar Sabroso;Miki González;2018;Rock Peruano;253893;Mar de Copas, Miki González;17
A Hard Day's Night - Remastered 2015;The Beatles;2000;1 (Remastered);152920;The Beatles;6
A Horse with No Name;America, George Martin;1972;252239;America;America;5
A Sky Full of Stars;Coldplay;2014;Ghost Stories;267866;Coldplay;8
A Solas - Remix;Lunay, Lyanno, Anuel AA, Brytiago, Alex Rose;2018;A Solas Remix;273198;Lunay, Lyanno, Anuel AA;1
ABC;The Jackson 5;1970;ABC;174866;The Jackson 5;3
About a Girl;The Academy Is...;2008;Fast Times At Barrington High;210333;The Academy Is...;1
About A Girl - Remastered;Nirvana;1989;Bleach: Deluxe Edition;168160;Nirvana;3
About You;KREAM;2020;About You;159400;KREAM;1
Acid Bomb;Dr. Peacock, Dope D.O.D.;2018;Acid Bomb;214153;Dr. Peacock;3
Acqua su marte;Tormento, J-AX;2019;Acqua su marte;189132;Tormento;1
ACQUA ཆུ (con RKOMI & MADAME);MACE, Rkomi, Madame;2021;OBE;189324;MACE;10
Acquagym (feat. Rkomi);Ackeejuice Rockers, Rkomi;2019;Acquagym (feat. Rkomi);147890;Ackeejuice Rockers;1
Adan y Eva;Paulo Londra;2018;Adan y Eva;258638;Paulo Londra;1
Adictiva;Daddy Yankee, Anuel AA;2018;Adictiva;207853;Daddy Yankee, Anuel AA;1
Adiós Amor;Mar de Copas;2018;Rock Peruano;216739;Mar de Copas, Miki González;12
Adventure of a Lifetime;Coldplay;2015;A Head Full of Dreams;263786;Coldplay;5
Africa;TOTO;1982;Toto IV;295893;TOTO;10
Afrodite;BLANCO;2021;Blu Celeste;192000;BLANCO;12
Afternoon Delight;Starland Vocal Band;1976;193040;Starland Vocal Band;Starland Vocal Band;8
Ain't It Fun;Paramore;2013;Paramore;296520;Paramore;6
Ain't No Mountain High Enough;Marvin Gaye, Tammi Terrell;1967;United;151666;Marvin Gaye, Tammi Terrell;1
Ain't Nobody (Loves Me Better);Felix Jaehn, Jasmine Thompson;2015;Ain't Nobody (Loves Me Better);186146;Felix Jaehn;1
